Country,State,City,Station_name,Timestamp(UTC),PM2.5,US_AQI,Main pollutant,r1,r2,r3,r4,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-01-31 00:00:00,14.62,56,PM2.5,,,,,12.88
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-02-11 00:00:00,15.88,59,PM2.5,,,,,3.11
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-05-03 00:00:00,4.38,18,PM2.5,,,,,36.39
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-09-02 00:00:00,8.45,35,PM2.5,,,,,31.21
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-07-14 00:00:00,8.63,36,PM2.5,12.29,,,,61.75
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-01-10 00:00:00,7.78,32,PM2.5,,,,,35.74
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-02-12 00:00:00,12.75,52,PM2.5,,,,,21.58
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-07-07 00:00:00,11.17,46,PM2.5,,,,,66.67
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-10-11 00:00:00,4.84,20,PM2.5,,1.7,,,40.83
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-10-12 00:00:00,3.95,20,Ozone,,1.47,,,50.32
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-10-04 00:00:00,13.45,54,PM2.5,,,,,22.73
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-02-19 00:00:00,,1,SO2,,1.16,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-11-23 00:00:00,2.77,18,Ozone,,0.25,,,44.7
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-08-03 00:00:00,,1,Ozone,,2.06,,,3.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-02-22 00:00:00,10.89,45,PM2.5,,,,,29.29
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-11-14 00:00:00,9.5,39,PM2.5,,,,,51.33
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-05-08 00:00:00,8.61,36,PM2.5,,,,,36.75
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-08-16 00:00:00,7.9,33,PM2.5,,3.98,,,52.25
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-07-26 00:00:00,11.85,49,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-07-06 00:00:00,13.47,54,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-03-08 00:00:00,21.85,71,PM2.5,,,,,20.35
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-01-05 00:00:00,14.02,55,PM2.5,,,,,12.77
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-02-18 00:00:00,,1,SO2,,0.99,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-07-15 00:00:00,11.57,48,PM2.5,,,,,59.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-05-08 00:00:00,6.73,28,PM2.5,,,,,60.67
USA,Pennsylvania,Pittsburgh,,2019-12-25 00:00:00,25.37,79,PM2.5,,,,,9.46
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-01-22 00:00:00,6.41,26,PM2.5,,,,,49.08
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-08-08 00:00:00,19.63,67,PM2.5,,,,,75.25
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-12-24 00:00:00,4.48,19,PM2.5,,,,,44.5
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-06-07 00:00:00,1.83,18,Ozone,2.57,,,,45.33
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-10-20 00:00:00,11.05,46,PM2.5,,,,,65.14
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-01-26 00:00:00,21.82,71,PM2.5,,,,,42.29
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-04-18 00:00:00,12.54,52,PM2.5,,,,,45.17
USA,Pennsylvania,Pittsburgh,Lawrenceville,2016-01-12 00:00:00,8.42,35,PM2.5,,,,,43.65
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-07-05 00:00:00,19.67,67,PM2.5,28.3,,,,62.33
USA,Pennsylvania,Pittsburgh,Lawrenceville,2017-08-07 00:00:00,11.58,48,PM2.5,16.54,,,,35.92
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-08-08 00:00:00,13.25,53,PM2.5,,2.43,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-04-03 00:00:00,7.41,31,PM2.5,,,,,60.7
